"Time","Air Temp - Lascar (high res)"
1627446600000,25.5
1627446900000,25.5
1627447200000,25.5
1627447500000,25.5
1627447800000,25.5
1627448100000,25.5
1627448400000,25.5
1627448700000,25.5
1627449000000,25.5
1627449300000,25.5
1627449600000,25.5
1627449900000,25.5
1627450200000,25.5
1627450500000,25.5
1627450800000,25.5
1627451100000,25.5
1627451400000,25.5
1627451700000,25.5
1627452000000,25.5
1627452300000,25.5
1627452600000,25.5
1627452900000,25.5
1627453200000,25.5
1627453500000,25.5
1627453800000,25.5
1627454100000,25.5
1627454400000,25.5
1627454700000,25.5
1627455000000,25.5
1627455300000,25.5
1627455600000,25.5
1627455900000,25.5
1627456200000,25.5
1627456500000,25.5
1627456800000,25.5
1627457100000,25.5
1627457400000,25.5
1627457700000,25.5
1627458000000,25.5
1627458300000,25.5
1627458600000,25.5
1627458900000,25.5
1627459200000,25.5
1627459500000,25.5
1627459800000,25.5
1627460100000,25.5
1627460400000,25.5
1627460700000,25.5
1627461000000,25.5
1627461300000,25.5
1627461600000,25.5
1627461900000,25.5
1627462200000,25.5
1627462500000,25.5
1627462800000,25.5
1627463100000,25.5
1627463400000,25.5
1627463700000,25.5
1627464000000,25.5
1627464300000,25.5
1627464600000,25.5
1627464900000,25.5
1627465200000,25.5
1627465500000,25.5
1627465800000,25.5
1627466100000,25.5
1627466400000,26
1627466700000,26
1627467000000,26
1627467300000,26
1627467600000,26
1627467900000,26
1627468200000,26
1627468500000,26
1627468800000,26
1627469100000,26
1627469400000,26
1627469700000,26.5
1627470000000,26.5
1627470300000,26.5
1627470600000,26.5
1627470900000,26.5
1627471200000,26.5
1627471500000,26.5
1627471800000,26.5
1627472100000,27
1627472400000,27
1627472700000,27
1627473000000,26.5
1627473300000,26.5
1627473600000,26.5
1627473900000,26.5
1627474200000,26.5
1627474500000,27
1627474800000,27
1627475100000,27
1627475400000,26.5
1627475700000,26.5
1627476000000,26.5
1627476300000,26.5
1627476600000,26.5
1627476900000,26.5
1627477200000,26.5
1627477500000,26.5
1627477800000,26.5
1627478100000,26.5
1627478400000,26.5
1627478700000,26.5
1627479000000,26.5
1627479300000,26.5
1627479600000,27
1627479900000,27
1627480200000,27
1627480500000,27
1627480800000,27
1627481100000,27
1627481400000,27
1627481700000,27
1627482000000,27
1627482300000,27
1627482600000,27
1627482900000,27
1627483200000,27
1627483500000,27
1627483800000,27
1627484100000,27
1627484400000,27
1627484700000,27
1627485000000,27
1627485300000,27
1627485600000,27
1627485900000,27
1627486200000,27
1627486500000,27
1627486800000,27
1627487100000,27
1627487400000,27
1627487700000,27
1627488000000,27
1627488300000,27
1627488600000,27
1627488900000,27
1627489200000,27
1627489500000,27
1627489800000,27
1627490100000,27
1627490400000,27.5
1627490700000,27.5
1627491000000,27.5
1627491300000,27.5
1627491600000,27.5
