"Time","Radiance (high res)"
1621952520000,23.5
1621952640000,23.5
1621952760000,23.5
1621952880000,23.5
1621953000000,23.5
1621953120000,23.6
1621953240000,23.6
1621953360000,23.6
1621953480000,23.6
1621953600000,23.6
1621953720000,23.6
1621953840000,23.6
1621953960000,23.6
1621954080000,23.6
1621954200000,23.6
1621954320000,23.6
1621954440000,23.6
1621954560000,23.6
1621954680000,23.7
1621954800000,23.7
1621954920000,23.7
1621955040000,23.7
1621955160000,23.7
1621955280000,23.7
1621955400000,23.7
1621955520000,23.7
1621955640000,23.7
1621955760000,23.7
1621955880000,23.7
1621956000000,23.7
1621956120000,23.8
1621956240000,23.8
1621956360000,23.8
1621956480000,23.8
1621956600000,23.8
1621956720000,23.8
1621956840000,23.8
1621956960000,23.8
1621957080000,23.8
1621957200000,23.8
1621957320000,23.8
1621957440000,23.8
1621957560000,23.8
1621957680000,23.8
1621957800000,23.8
1621957920000,23.8
1621958040000,23.8
1621958160000,23.8
1621958280000,23.8
1621958400000,23.7
1621958520000,23.7
1621958640000,23.7
1621958760000,23.7
1621958880000,23.7
1621959000000,23.7
1621959120000,23.7
1621959240000,23.7
1621959360000,23.7
1621959480000,23.7
1621959600000,23.7
1621959720000,23.7
1621959840000,23.7
1621959960000,23.7
1621960080000,23.7
1621960200000,23.7
1621960320000,23.7
1621960440000,23.7
1621960560000,23.7
1621960680000,23.7
1621960800000,23.7
1621960920000,23.7
1621961040000,23.7
1621961160000,23.7
1621961280000,23.6
1621961400000,23.6
1621961520000,23.6
1621961640000,23.6
1621961760000,23.6
1621961880000,23.6
1621962000000,23.6
1621962120000,23.6
1621962240000,23.6
1621962360000,23.6
1621962480000,23.6
1621962600000,23.6
1621962720000,23.6
1621962840000,23.6
1621962960000,23.5
1621963080000,23.5
1621963200000,23.5
1621963320000,23.5
1621963440000,23.5
1621963560000,23.5
1621963680000,23.5
1621963800000,23.5
1621963920000,23.5
1621964040000,23.5
1621964160000,23.5
1621964280000,23.5
1621964400000,23.5
1621964520000,23.5
1621964640000,23.4
1621964760000,23.4
